nombre,tipo_elec,onomastico,suplente,edo,ent,ent_2,correo,ext
Dip. Maria Rosete,Mayoria Relativa,12-mar-60,Eloisa Micaela Montano Covarrubias,Ciudad de Mexico,Distrito:8,C-078,maria.rosete@diputados.gob.mx,62100
Dip. Adriana Maria Guadalupe Espinosa de los Monteros Garcia,Mayoria Relativa,11-dic-72,Mariela Santos Rojo,Ciudad de Mexico,Distrito:9,E-142,adriana.espinosa@diputados.gob.mx,61262
Dip. Javier Ariel Hidalgo Ponce,Mayoria Relativa,14-may-60,Luis Daniel Reyes Amezaga,Ciudad de Mexico,Distrito:10,G-226,javier.hidalgo@diputados.gob.mx,61634
Dip. Rocio Barrera Badillo (LICENCIA),Mayoria Relativa,01-oct-76,Maria Martha Garcia Flores,Ciudad de Mexico,Distrito:11,E-141,rocio.barrera@diputados.gob.mx,61302
Dip. Dolores Padierna Luna,Mayoria Relativa,08-may-58,Montserrat Navarro Perez,Ciudad de Mexico,Distrito:12,P-503,dolores.padierna@diputados.gob.mx,8322
Dip. Mario Delgado Carrillo (LICENCIA),Mayoria Relativa,17-jun-72,Oscar Eugenio Gutierrez Camacho(en funciones),Ciudad de Mexico,Distrito:13,I-309,mario.delgado@diputados.gob.mx,61215
Dip. Alfonso Ramirez Cuellar,Mayoria Relativa,14-jun-59,Javier Uriel Aguirre Valenciana,Ciudad de Mexico,Distrito:14,H-268,alfonso.ramirez@diputados.gob.mx,61176
Dip. Luis Alberto Mendoza Acevedo,Mayoria Relativa,12-ene-80,Victor Manuel Mendoza Acevedo,Ciudad de Mexico,Distrito:15,D-087,luismendoza.a@diputados.gob.mx,59907
Dip. Silvia Lorena Villavicencio Ayala,Mayoria Relativa,12-jun-64,Alicia Torres San Juan,Ciudad de Mexico,Distrito:16,J-352,lorena.villavicencio@diputados.gob.mx,51108
Dip. Francisco Javier Saldivar Camacho,Mayoria Relativa,12-mar-67,Andres Amador Navarro,Ciudad de Mexico,Distrito:17,E-152,francisco.saldivar@diputados.gob.mx,61816
Dip. Ana Maria Rodriguez Ruiz,Mayoria Relativa,23-jul-62,Maria del Rosario Rojas Martinez,Ciudad de Mexico,Distrito:18,F-182,ana.rodriguez@diputados.gob.mx,61324
Dip. Aleida Alavez Ruiz,Mayoria Relativa,10-ene-74,Maria Concepcion Franco Rodriguez,Ciudad de Mexico,Distrito:19,K-395,aleida.alavez@diputados.gob.mx,61765
Dip. Ana Karina Rojo Pimentel,Mayoria Relativa,28-nov-76,Maribel Flores Garcia,Ciudad de Mexico,Distrito:20,D-116,ana.rojo@diputados.gob.mx,62050
Dip. Flor Ivone Morales Miranda (LICENCIA),Mayoria Relativa,05-oct-68,Karen Ivette Audiffred Fernandez(en funciones),Ciudad de Mexico,Distrito:21,F-183,flor.morales@diputados.gob.mx,61256
Dip. Victor Gabriel Varela Lopez,Mayoria Relativa,20-abr-73,Salvador Montes Villalba,Ciudad de Mexico,Distrito:22,F-184,victor.varela@diputados.gob.mx,61632
Dip. Pablo Gomez Alvarez,Mayoria Relativa,21-oct-46,Sandino Luna Almeida,Ciudad de Mexico,Distrito:23,J-354,escribe@pablogomez.org,61569
Dip. Guadalupe Ramos Sotelo,Mayoria Relativa,01-feb-74,Lucero Ramirez Ramirez,Ciudad de Mexico,Distrito:24,J-353,guadalupe.ramos@diputados.gob.mx,66373
Dip. Evaristo Lenin Perez Rivera,Mayoria Relativa,28-oct-66,Sergio Borja Castillo,Coahuila,Distrito:1,J-330,evaristo.perez@diputados.gob.mx,59901
Dip. Francisco Javier Borrego Adame,Mayoria Relativa,27-dic-54,Jorge Arturo Valdes Flores,Coahuila,Distrito:2,M-491,francisco.borrego@diputados.gob.mx,61597
Dip. Melba Nelia Farias Zambrano,Mayoria Relativa,06-jul-55,Angelica Ledesma Mesta,Coahuila,Distrito:3,M-494,melba.farias@diputados.gob.mx,61595
Dip. Martha Hortencia Garay Cadena,Mayoria Relativa,03-abr-55,Cynthia del Carmen Molano Serna,Coahuila,Distrito:4,P-505,martha.garay@diputados.gob.mx,59510
Dip. Luis Fernando Salazar Fernandez (LICENCIA),Mayoria Relativa,18-nov-77,Ulises Guadalupe Hernandez Torres,Coahuila,Distrito:5,K-402,luis.salazar@diputados.gob.mx,61458
Dip. Jose Angel Perez Hernandez (LICENCIA),Mayoria Relativa,01-mar-58,Jesus Gerardo Puentes Balderas(en funciones),Coahuila,Distrito:6,B-047,joseangel.perez@diputados.gob.mx,61812
Dip. Fernando Donato De las Fuentes Hernandez (LICENCIA),Mayoria Relativa,07-ago-60,Sergio Armando Sisbeles Alvarado(en funciones),Coahuila,Distrito:7,D-098,fernandodelasfuentes@diputados.gob.mx,59456
Dip. Claudia Valeria Yanez Centeno y Cabrera (LICENCIA),Mayoria Relativa,02-may-59,Sara Rizzo Garcia(en funciones),Colima,Distrito:1,D-109,claudia.yanezcenteno@diputados.gob.mx,61650
Dip. Indira Vizcaino Silva (LICENCIA),Mayoria Relativa,14-ene-87,Rosa Maria Bayardo Cabrera(en funciones),Colima,Distrito:2,H-274,indira.vizcaino@diputados.gob.mx,61790
Dip. Manuela del Carmen Obrador Narvaez,Mayoria Relativa,12-jun-71,Rebeca Arcos Sanchez,Chiapas,Distrito:1,M-467,manuela.obrador@diputados.gob.mx,61147
Dip. Humberto Pedrero Moreno (LICENCIA),Mayoria Relativa,26-may-86,Alfredo Antonio Gordillo Moreno(en funciones),Chiapas,Distrito:2,J-336,humberto.pedrero@diputados.gob.mx,61114
Dip. Alfredo Vazquez Vazquez (LICENCIA),Mayoria Relativa,27-ene-81,Manuel Torres Hernandez(en funciones),Chiapas,Distrito:3,M-465,alfredo.vazquez@diputados.gob.mx,61159
Dip. Roque Luis Rabelo Velasco,Mayoria Relativa,12-ago-44,Fidencio Castanon Reyes,Chiapas,Distrito:4,M-466,roque.rabelo@diputados.gob.mx,61149
Dip. Clementina Marta Dekker Gomez,Mayoria Relativa,10-abr-73,Flor de Maria Gonzalez Perez,Chiapas,Distrito:5,E-157,clementina.dekker@diputados.gob.mx,62008
Dip. Zoe Alejandro Robledo Aburto (LICENCIA),Mayoria Relativa,09-ene-79,Raul Eduardo Bonifaz Moedano(en funciones),Chiapas,Distrito:6,H-264,zoe.robledo@diputados.gob.mx,61157
Dip. Miguel Prado de los Santos,Mayoria Relativa,19-ene-84,Gonzalo de Jesus Moguel Rincon,Chiapas,Distrito:7,M-464,miguel.prado@diputados.gob.mx,61166
Dip. Maria Roselia Jimenez Perez,Mayoria Relativa,30-ago-59,Sonia Edith Arevalo Flores,Chiapas,Distrito:8,I-329,roselia.jimenez@diputados.gob.mx,62028
Dip. Leticia Arlett Aguilar Molina,Mayoria Relativa,01-mar-58,Liliana Garcia Albores,Chiapas,Distrito:9,L-427,leticia.aguilar@diputados.gob.mx,61155
Dip. Juan Enrique Farrera Esponda,Mayoria Relativa,21-mar-67,Alvaro Chanona Borges,Chiapas,Distrito:10,M-469,juan.farrera@diputados.gob.mx,61294
Dip. Roberto Antonio Rubio Montejo,Mayoria Relativa,20-abr-77,Rogelio Rayo Martinez,Chiapas,Distrito:11,G-214,roberto.rubio@diputados.gob.mx,59624
Dip. Jose Luis Elorza Flores,Mayoria Relativa,28-abr-73,Jose Alberto de Sancristobal Leon,Chiapas,Distrito:12,L-423,jose.elorza@diputados.gob.mx,61151
Dip. Maricruz Roblero Gordillo,Mayoria Relativa,26-oct-66,Gladys Mejia Rodriguez,Chiapas,Distrito:13,H-284,maricruz.roblero@diputados.gob.mx,62034
Dip. Maria Esther Mejia Cruz,Mayoria Relativa,08-jul-56,Elizabeth Guzman Argueta,Chihuahua,Distrito:1,K-414,maria.mejia@diputados.gob.mx,61227
Dip. Teresita de Jesus Vargas Meraz,Mayoria Relativa,16-dic-89,Yalia Naharai Romero Chavez,Chihuahua,Distrito:2,K-415,teresita.vargas@diputados.gob.mx,61245
Dip. Claudia Elena Lastra Munoz,Mayoria Relativa,13-ene-71,Daniela Beatriz Cabrera Fernandez,Chihuahua,Distrito:3,G-241,claudia.lastra@diputados.gob.mx,62036
Dip. Ulises Garcia Soto,Mayoria Relativa,29-mar-87,Cesar Omar Pena Ibarbol,Chihuahua,Distrito:4,J-370,ulises.garcia@diputados.gob.mx,61232
Dip. Mario Mata Carrasco,Mayoria Relativa,20-mar-62,Luis Carlos Gonzalez Nunez,Chihuahua,Distrito:5,H-246,mmata.carrasco@diputados.gob.mx,59887
Dip. Miguel Alonso Riggs Baeza,Mayoria Relativa,27-oct-75,Jaime Ricardo Fernandez Horcasitas,Chihuahua,Distrito:6,G-204,miguel.riggs@diputados.gob.mx,59914
Dip. Eraclio Rodriguez Gomez,Mayoria Relativa,04-ene-61,Luis Armando Dominguez Prado,Chihuahua,Distrito:7,K-416,eraclio.rodriguez@diputados.gob.mx,61230
Dip. Alan Jesus Falomir Saenz,Mayoria Relativa,23-feb-81,Eduardo Humberto Gameros Gardea,Chihuahua,Distrito:8,A-006,alan.falomir@diputados.gob.mx,62618
Dip. Maria de los Angeles Gutierrez Valdez (LICENCIA),Mayoria Relativa,08-mar-62,Sinai del Rocio Sanchez Huerta(en funciones),Chihuahua,Distrito:9,E-127,angeles.gutierrez@diputados.gob.mx,59907
Dip. Martha Olivia Garcia Vidana,Mayoria Relativa,04-may-69,Maria Ernestina Sarmiento Guevara,Durango,Distrito:1,I-323,olivia.garcia@diputados.gob.mx,61290
Dip. Alma Marina Vitela Rodriguez (LICENCIA),Mayoria Relativa,26-dic-65,Maria de Lourdes Montes Hernandez(en funciones),Durango,Distrito:2,I-325,alma.vitela@diputados.gob.mx,61291
Dip. Maribel Aguilera Chairez,Mayoria Relativa,20-dic-77,Martha Alicia Arreola Martinez,Durango,Distrito:3,E-150,maribel.aguilera@diputados.gob.mx,61577
Dip. Hilda Patricia Ortega Najera,Mayoria Relativa,10-ago-66,Lidia Beatriz Herrera Romero,Durango,Distrito:4,I-327,hilda.ortega@diputados.gob.mx,61282
Dip. Ariel Rodriguez Vazquez,Mayoria Relativa,01-nov-72,Pedro Arredondo Munoz,Guanajuato,Distrito:1,C-062,ariel.rodriguez@diputados.gob.mx,62650
Dip. Ricardo Villarreal Garcia,Mayoria Relativa,12-abr-81,Osvaldo Garcia Arteaga,Guanajuato,Distrito:2,F-169,ricardo.villarreal@diputados.gob.mx,59889
Dip. Ma. de los Angeles Ayala Diaz,Mayoria Relativa,02-ago-63,Blanca Marcia Chacon Hernandez,Guanajuato,Distrito:3,I-287,madelosangeles.ayala@diputados.gob.mx,59965
Dip. Juan Carlos Romero Hicks,Mayoria Relativa,10-dic-55,Jose Ricardo Narvaez Martinez,Guanajuato,Distrito:4,D-089,romero.hicks@diputados.gob.mx,3124-8280
Dip. Ector Jaime Ramirez Barba,Mayoria Relativa,01-dic-56,Ismael Sanchez Hernandez,Guanajuato,Distrito:5,C-053,ramirezbarba@diputados.gob.mx,59952
Dip. Ma. del Pilar Ortega Martinez,Mayoria Relativa,29-jun-68,Adriana Alejandra Del Rio Hinojosa,Guanajuato,Distrito:6,I-293,pilar.ortega@diputados.gob.mx,58110
Dip. Karen Michel Gonzalez Marquez,Mayoria Relativa,21-ene-88,Lucia Mendez Navarro,Guanajuato,Distrito:7,P-506,karen.gonzalez@diputados.gob.mx,59902
Dip. Justino Eugenio Arriaga Rojas,Mayoria Relativa,20-sep-79,Cesar Raymundo Gomez Garcia,Guanajuato,Distrito:8,C-052,justino.arriaga@diputados.gob.mx,59904
Dip. Janet Melanie Murillo Chavez,Mayoria Relativa,02-ago-81,Susana Bermudez Cano,Guanajuato,Distrito:9,F-165,janet.murillo@diputados.gob.mx,59885
Dip. Lilia Villafuerte Zavala,Mayoria Relativa,19-abr-63,Adriana Bustos Rodriguez,Guanajuato,Distrito:10,K-379,lilia.villafuerte@diputados.gob.mx,59622
Dip. Jorge Arturo Espadas Galvan,Mayoria Relativa,08-sep-75,Marco Antonio Hernandez Arellano,Guanajuato,Distrito:11,E-124,jorge.espadas@diputados.gob.mx,59891
Dip. Sarai Nunez Ceron,Mayoria Relativa,17-abr-79,Maria Eugenia Mosqueda Nieto,Guanajuato,Distrito:12,A-005,sarai.nunez@diputados.gob.mx,59890
Dip. Emmanuel Reyes Carmona,Mayoria Relativa,29-jun-87,Ramiro Zaragoza Ramirez,Guanajuato,Distrito:13,K-383,emmanuel.reyes@diputados.gob.mx,55147
Dip. Ma. Eugenia Leticia Espinosa Rivas,Mayoria Relativa,28-nov-61,Guadalupe Monserrat Mendoza Cano,Guanajuato,Distrito:14,D-086,eugenia.espinosa@diputados.gob.mx,59910
Dip. Sergio Fernando Ascencio Barba,Mayoria Relativa,09-dic-77,Ricardo Andres Herrejon Catala,Guanajuato,Distrito:15,F-162,sergio.ascencio@diputados.gob.mx,59954
Dip. Victor Adolfo Mojica Wences,Mayoria Relativa,24-mar-58,Mario Hector Mojica Escalante,Guerrero,Distrito:1,D-104,victor.mojica@diputados.gob.mx,61342
Dip. Araceli Ocampo Manzanares,Mayoria Relativa,15-oct-72,Elizabeth Figueroa Elguera,Guerrero,Distrito:2,D-103,araceli.ocampo@diputados.gob.mx,61332
Dip. Ma. del Carmen Cabrera Lagunas (LICENCIA),Mayoria Relativa,30-dic-71,Coyolxauhqui Soria Morales(en funciones),Guerrero,Distrito:3,C-077,madelcarmen.cabrera@diputados.gob.mx,61835
Dip. Abelina Lopez Rodriguez (LICENCIA),Mayoria Relativa,23-sep-65,Leticia Lozano Zavala(en funciones),Guerrero,Distrito:4,C-067,abelina.lopez@diputados.gob.mx,61340
Dip. Javier Manzano Salazar,Mayoria Relativa,05-jun-63,Fredy de Jesus Castro Guevara,Guerrero,Distrito:5,D-105,javier.manzano@diputados.gob.mx,61334
Dip. Raymundo Garcia Gutierrez (LICENCIA),Mayoria Relativa,04-jul-63,Jorge Casarrubias Vazquez(en funciones),Guerrero,Distrito:6,L-417,raymundo.garcia@diputados.gob.mx,62422
Dip. Carlos Sanchez Barrios,Mayoria Relativa,17-ago-57,Bulmaro Muniz Olmedo,Guerrero,Distrito:7,E-145,carlos.sanchezb@diputados.gob.mx,61330
Dip. Ruben Cayetano Garcia,Mayoria Relativa,10-ago-69,Gregorio Ruano Alcaraz,Guerrero,Distrito:8,C-068,ruben.cayetano@diputados.gob.mx,61212
Dip. Maria del Rosario Merlin Garcia (LICENCIA),Mayoria Relativa,01-nov-64,Joaquina Hernandez Aguero(en funciones),Guerrero,Distrito:9,D-101,maria.merlin@diputados.gob.mx,61328
Dip. Fortunato Rivera Castillo,Mayoria Relativa,17-nov-55,Gelacio Velazquez Hernandez,Hidalgo,Distrito:1,B-043,fortunato.rivera@diputados.gob.mx,61742
Dip. Cipriano Charrez Pedraza (LICENCIA),Mayoria Relativa,16-sep-70,Gustavo Callejas Romero(en funciones),Hidalgo,Distrito:2,D-110,cipriano.charrez@diputados.gob.mx,61732
Dip. Simey Olvera Bautista,Mayoria Relativa,20-ago-83,Carina Lopez Ayala,Hidalgo,Distrito:3,C-075,simey.olvera@diputados.gob.mx,61746
Dip. Maria Isabel Alfaro Morales,Mayoria Relativa,24-feb-66,Ma. Guadalupe Loredo Gonzales,Hidalgo,Distrito:4,B-045,maria.alfaro@diputados.gob.mx,61730
Dip. Julio Cesar Angeles Mendoza,Mayoria Relativa,24-oct-71,Luis Eduardo Duran Garcia,Hidalgo,Distrito:5,A-018,julio.angeles@diputados.gob.mx,61743
Dip. Lidia Garcia Anaya,Mayoria Relativa,31-oct-57,Maria de la Luz Rubio Gonzalez,Hidalgo,Distrito:6,B-044,lidia.garcia@diputados.gob.mx,61738
Dip. Jannet Tellez Infante,Mayoria Relativa,08-ene-79,Flora Cervantes Reyes,Hidalgo,Distrito:7,C-074,jannet.tellez@diputados.gob.mx,61748
Dip. Eduardo Ron Ramos (LICENCIA),Mayoria Relativa,24-feb-75,Luis Enrique Vargas Diaz(en funciones),Jalisco,Distrito:1,B-031,eduardo.ron@diputados.gob.mx,57117
Dip. Martha Estela Romo Cuellar,Mayoria Relativa,14-mar-85,Maria del Refugio Oros Reyes,Jalisco,Distrito:2,F-164,estela.romo@diputados.gob.mx,59892
Dip. Guadalupe Romo Romo,Mayoria Relativa,22-mar-62,Marco Antonio Isaac Gonzalez,Jalisco,Distrito:3,G-208,guadalupe.romo@diputados.gob.mx,59909
Dip. Mario Alberto Rodriguez Carrillo,Mayoria Relativa,14-mar-67,Salvador Garcia Arenas,Jalisco,Distrito:4,A-008,mario.rodriguez@diputados.gob.mx,55114
Dip. Lorena del Socorro Jimenez Andrade,Mayoria Relativa,21-oct-59,Ma. Esperanza Ortiz Rodriguez,Jalisco,Distrito:5,M-498,lorena.jimenez@diputados.gob.mx,61636
Dip. Fabiola Raquel Guadalupe Loya Hernandez,Mayoria Relativa,05-nov-74,Elsa Noemi Mayorga Ochoa,Jalisco,Distrito:6,D-092,fabiola.loya@diputados.gob.mx,62608
Dip. Juan Carlos Villarreal Salazar (LICENCIA),Mayoria Relativa,11-ago-74,Jose Carlos Marroquin Gomez(en funciones),Jalisco,Distrito:7,G-211,jcarlos.villarreal@diputados.gob.mx,62656
Dip. Abril Alcala Padilla (LICENCIA),Mayoria Relativa,28-abr-79,Susana Priscila Alvarez Hernandez(en funciones),Jalisco,Distrito:8,L-421,abril.alcala@diputados.gob.mx,55123
Dip. Carmen Julia Prudencio Gonzalez,Mayoria Relativa,30-jun-77,Irene Garcia Martinez,Jalisco,Distrito:9,F-170,carmen.prudencio@diputados.gob.mx,62636
Dip. Geraldina Isabel Herrera Vega,Mayoria Relativa,24-abr-63,Paz Rebeca Padilla Jimenez,Jalisco,Distrito:10,A-007,geraldina.herrera@diputados.gob.mx,62628
Dip. Kehila Abigail Ku Escalante (LICENCIA),Mayoria Relativa,02-sep-85,Irma Sanchez Manzo(en funciones),Jalisco,Distrito:11,B-033,kehila.ku@diputados.gob.mx,62630
Dip. Adriana Gabriela Medina Ortiz,Mayoria Relativa,25-jun-79,Maria Asencion Alvarez Solis,Jalisco,Distrito:12,F-171,gabriela.medina@diputados.gob.mx,62632
Dip. Lourdes Celenia Contreras Gonzalez (LICENCIA),Mayoria Relativa,29-dic-84,Violeta Mariana Parra Garcia(en funciones),Jalisco,Distrito:13,E-130,lourdes.contreras@diputados.gob.mx,62612
Dip. Juan Francisco Ramirez Salcido (LICENCIA),Mayoria Relativa,25-mar-69,Humberto Ramon Jarero Cornejo(en funciones),Jalisco,Distrito:14,E-132,jfrancisco.ramirez@diputados.gob.mx,62646
Dip. Absalon Garcia Ochoa,Mayoria Relativa,23-sep-71,Francisco Perales Jacobo,Jalisco,Distrito:15,G-210,absalon.garcia@diputados.gob.mx,59889
Dip. Laura Imelda Perez Segura,Mayoria Relativa,30-may-80,Socorro Lopez Martinez,Jalisco,Distrito:16,L-458,imelda.perez@diputados.gob.mx,59151
Dip. Juan Martin Espinoza Cardenas,Mayoria Relativa,11-jul-72,Santiago Ledezma Orozco,Jalisco,Distrito:17,G-212,juan.espinoza@diputados.gob.mx,62614
Dip. Monica Almeida Lopez (LICENCIA),Mayoria Relativa,03-abr-70,Karem Zobeida Vargas Pelayo(en funciones),Jalisco,Distrito:18,K-376,monica.almeida@diputados.gob.mx,55135
Dip. Alberto Esquer Gutierrez (LICENCIA),Mayoria Relativa,07-nov-78,Higinio Del Toro Perez,Jalisco,Distrito:19,D-093,alberto.esquer@diputados.gob.mx,62616
Dip. Ana Priscila Gonzalez Garcia (LICENCIA),Mayoria Relativa,13-may-84,Maria del Refugio Alvarado Romo(en funciones),Jalisco,Distrito:20,C-061,priscila.gonzalez@diputados.gob.mx,62626
Dip. Ricardo Aguilar Castillo,Mayoria Relativa,05-ago-70,Rogelio Enrique Valdez Valdez,Mexico,Distrito:1,E-138,raguilar.castillo@diputados.gob.mx,59446
Dip. Dionicia Vazquez Garcia,Mayoria Relativa,29-mar-48,Elena Laura Flores Martinez,Mexico,Distrito:2,H-283,dionicia.vazquez@diputados.gob.mx,62058
Dip. Maria Teresa Maru Mejia,Mayoria Relativa,29-oct-58,Maria de Lourdes Rios Garcia,Mexico,Distrito:3,E-158,maria.maru@diputados.gob.mx,62022
Dip. Nelly Minerva Carrasco Godinez,Mayoria Relativa,16-mar-82,Rosario Cruz Salinas,Mexico,Distrito:4,E-147,nelly.carrasco@diputados.gob.mx,61478
Dip. Francisco Favela Penunuri,Mayoria Relativa,15-abr-55,Apolinar Zuniga Quijada,Mexico,Distrito:5,I-328,francisco.favela@diputados.gob.mx,62046
Dip. Carolina Garcia Aguilar,Mayoria Relativa,22-sep-76,Karla Ivette Calva Aleman,Mexico,Distrito:6,C-079,cgarcia.aguilar@diputados.gob.mx,61848
Dip. Xochitl Nashielly Zagal Ramirez (LICENCIA),Mayoria Relativa,28-may-90,Laura Monica Guerra Navarro(en funciones),Mexico,Distrito:7,F-188,xochitl.zagal@diputados.gob.mx,61462
Dip. Gustavo Contreras Montes,Mayoria Relativa,11-jun-80,Guillermo Diaz Gonzalez Flores,Mexico,Distrito:8,F-193,gustavo.contreras@diputados.gob.mx,61500
Dip. Eduardo Zarzosa Sanchez (LICENCIA),Mayoria Relativa,16-dic-73,Jesus Wenceslao Rangel de la O(en funciones),Mexico,Distrito:9,J-345,eduardo.zarzosa@diputados.gob.mx,59516
Dip. Alma Delia Navarrete Rivera,Mayoria Relativa,29-jul-72,Teresa Escobar Briones,Mexico,Distrito:10,E-146,alma.navarrete@diputados.gob.mx,61504
Dip. Maria Eugenia Hernandez Perez,Mayoria Relativa,20-mar-61,Natalia Benitez Torres,Mexico,Distrito:11,F-187,eugenia.hernandez@diputados.gob.mx,61556
Dip. Felipe Rafael Arvizu De la Luz,Mayoria Relativa,09-sep-74,Pedro Antonio Vera Flores,Mexico,Distrito:12,D-107,felipe.arvizu@diputados.gob.mx,61482
Dip. Maria Elizabeth Diaz Garcia,Mayoria Relativa,10-feb-71,Gabriela Hernandez Cruz,Mexico,Distrito:13,E-149,maria.diaz@diputados.gob.mx,61495
Dip. Claudia Angelica Dominguez Vazquez,Mayoria Relativa,13-sep-77,Karla Paola Peniche Rodriguez,Mexico,Distrito:14,C-082,claudia.dominguez@diputados.gob.mx,62032
Dip. Raul Ernesto Sanchez Barrales Zavalza,Mayoria Relativa,19-dic-71,Jose Francisco Lara Hernandez,Mexico,Distrito:15,I-315,raul.sanchezbarrales@diputados.gob.mx,61502
Dip. Emilio Manzanilla Tellez,Mayoria Relativa,10-abr-71,Jose Antonio Garcia Hernandez,Mexico,Distrito:16,E-159,emilio.manzanilla@diputados.gob.mx,62026
Dip. Maria Guadalupe Roman Avila,Mayoria Relativa,24-feb-73,Katia Gonzalez Hernandez,Mexico,Distrito:17,G-230,guadalupe.roman@diputados.gob.mx,61426
Dip. Claudia Reyes Montiel,Mayoria Relativa,07-feb-74,Maria Gisela Alejandra Parra Flores,Mexico,Distrito:18,M-459,claudia.reyes@diputados.gob.mx,55105
Dip. Ulises Murguia Soto,Mayoria Relativa,09-jul-63,Jose Daniel Alfonso Hernandez Ramirez,Mexico,Distrito:19,H-272,ulises.murguia@diputados.gob.mx,61488
Dip. Juan Pablo Sanchez Rodriguez,Mayoria Relativa,29-abr-79,Luis Miguel Rodriguez Hernandez,Mexico,Distrito:20,G-234,pablo.sanchez@diputados.gob.mx,61491
Dip. Graciela Sanchez Ortiz,Mayoria Relativa,18-feb-59,Brenda Anahi Garcia Diaz,Mexico,Distrito:21,E-148,graciela.sanchez@diputados.gob.mx,61492
